period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription
2024-05,MI,Michigan,2,IPP Non-CHP,NGO,natural gas & other gases
2024-05,LA,Louisiana,2,IPP Non-CHP,NGO,natural gas & other gases
2024-05,LA,Louisiana,2,IPP Non-CHP,NG,natural gas
2024-05,LA,Louisiana,2,IPP Non-CHP,HYC,conventional hydroelectric
2024-05,NJ,New Jersey,2,IPP Non-CHP,OBW,biomass
2024-05,NJ,New Jersey,2,IPP Non-CHP,NUC,nuclear
2024-05,NJ,New Jersey,2,IPP Non-CHP,NGO,natural gas & other gases
2024-05,NJ,New Jersey,2,IPP Non-CHP,NG,natural gas
2024-05,NJ,New Jersey,2,IPP Non-CHP,MSB,biogenic municipal solid waste
2024-05,NJ,New Jersey,2,IPP Non-CHP,MLG,municiapl landfill gas
2024-05,NJ,New Jersey,2,IPP Non-CHP,LFG,landfill gas
2024-05,NJ,New Jersey,2,IPP Non-CHP,HYC,conventional hydroelectric
2024-05,NJ,New Jersey,2,IPP Non-CHP,HPS,hydro-electric pumped storage
2024-05,NJ,New Jersey,2,IPP Non-CHP,FOS,fossil fuels
2024-05,NJ,New Jersey,2,IPP Non-CHP,DFO,distillate fuel oil
2024-05,NJ,New Jersey,2,IPP Non-CHP,COW,all coal products
2024-05,NJ,New Jersey,2,IPP Non-CHP,COL,"coal, excluding waste coal"
2024-05,NJ,New Jersey,2,IPP Non-CHP,BIT,bituminous coal
2024-05,NJ,New Jersey,2,IPP Non-CHP,BIS,bituminous coal and synthetic coal
2024-05,NJ,New Jersey,2,IPP Non-CHP,BIO,biomass
2024-05,LA,Louisiana,99,All Sectors,ALL,all fuels
2024-05,LA,Louisiana,98,Electric Power,WAS,renewable waste products
2024-05,LA,Louisiana,98,Electric Power,SUN,solar
2024-05,LA,Louisiana,98,Electric Power,SUB,subbituminous coal
2024-05,LA,Louisiana,98,Electric Power,SPV,solar photovoltaic
2024-05,LA,Louisiana,98,Electric Power,RFO,residual fuel oil
2024-05,LA,Louisiana,98,Electric Power,REN,renewable
2024-05,LA,Louisiana,98,Electric Power,RC,refined coal
2024-05,LA,Louisiana,98,Electric Power,PET,petroleum
2024-05,LA,Louisiana,98,Electric Power,PEL,petroleum liquids
2024-05,LA,Louisiana,98,Electric Power,PC,petroleum coke
2024-05,LA,Louisiana,98,Electric Power,OTH,other
2024-05,LA,Louisiana,98,Electric Power,ORW,other renewables
2024-05,FL,Florida,90,Electric Power Sector Non-CHP,BIT,bituminous coal
2024-05,FL,Florida,90,Electric Power Sector Non-CHP,BIS,bituminous coal and synthetic coal
2024-05,DE,Delaware,97,All Industrial,TSN,estimated total solar
2024-05,DE,Delaware,97,All Industrial,TPV,estimated total solar photovoltaic
2024-05,DE,Delaware,97,All Industrial,SUN,solar
2024-05,DE,Delaware,97,All Industrial,SPV,solar photovoltaic
2024-05,DE,Delaware,97,All Industrial,REN,renewable
2024-05,DE,Delaware,97,All Industrial,PET,petroleum
2024-05,DE,Delaware,97,All Industrial,PC,petroleum coke
2024-05,DE,Delaware,97,All Industrial,OOG,other gases
2024-05,DE,Delaware,97,All Industrial,NGO,natural gas & other gases
2024-05,DE,Delaware,97,All Industrial,NG,natural gas
2024-05,DE,Delaware,97,All Industrial,MLG,municiapl landfill gas
2024-05,DE,Delaware,97,All Industrial,LFG,landfill gas
2024-05,DE,Delaware,97,All Industrial,FOS,fossil fuels
2024-05,DE,Delaware,97,All Industrial,DPV,estimated small scale solar photovoltaic
2024-05,DE,Delaware,97,All Industrial,BIO,biomass
2024-05,DE,Delaware,97,All Industrial,AOR,all renewables
2024-05,DE,Delaware,97,All Industrial,ALL,all fuels
2024-05,ME,Maine,2,IPP Non-CHP,BIO,biomass
2024-05,ME,Maine,2,IPP Non-CHP,AOR,all renewables
2024-05,ME,Maine,2,IPP Non-CHP,ALL,all fuels
2024-05,ME,Maine,1,Electric Utility,TSN,estimated total solar
2024-05,ME,Maine,1,Electric Utility,TPV,estimated total solar photovoltaic
2024-05,ME,Maine,1,Electric Utility,REN,renewable
